id,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
uila6,1,1,55,12,1,28
afsc4,10,26,36,5,28,70
j52gq,12,30,51,12,17,4
h84f5,6,14,76,10,24,29
pr8pc,1,20,82,12,17,8
gr33x,11,16,46,8,20,47
z5zu7,11,15,79,12,17,75
hjb71,1,1,69,1,1,25
n1nsv,7,17,11,10,30,81
dxink,11,1,5,12,1,2
xqwjn,3,24,94,3,30,28
xnk3b,12,15,84,11,3,16
uvfrv,12,4,50,11,8,9
jqovb,11,11,96,11,8,55
b6mbn,7,8,98,9,19,23
smiwf,3,4,64,3,15,24
lmaiw,11,24,74,11,24,55
zj1si,11,15,76,3,4,56
sjlt6,12,6,78,5,2,11
oi8xu,11,20,78,5,1,66
zlo19,12,12,76,3,21,28
uscuk,11,20,27,12,1,46
l1sfi,11,20,91,11,24,22
a67ns,8,13,83,12,30,56
cm64l,8,9,45,5,6,6
lif16,9,11,29,3,20,16
otrn2,3,24,59,12,15,25
ablvd,9,20,98,9,13,79
dmwmj,11,15,20,5,4,30
s07hk,10,15,74,4,30,23
thk71,6,9,50,2,20,43
a3nef,12,5,67,11,26,81
n7idx,11,1,85,12,1,65
clemz,12,15,48,11,28,67
sm8pe,5,10,4,12,17,70
v6kmm,6,9,70,12,27,74
wrvux,12,19,47,5,31,32
pj8q9,3,29,63,3,12,11
qcl3h,5,28,27,5,28,68
yxi3v,10,7,50,2,13,95
prj73,11,6,46,3,7,21
lqq1a,7,20,55,7,8,71
t220p,12,1,66,12,7,56
pq9z1,12,29,32,12,18,4
vqune,10,14,84,7,31,83
n3ssw,2,10,73,6,7,78
wy403,3,3,34,5,19,49
bz7ez,12,1,35,11,17,13
aerbo,12,15,63,11,1,91
cnr4k,12,1,99,3,1,87
odf2j,3,11,34,12,5,18
sny5c,12,8,36,12,5,14
f1osg,4,18,35,6,4,76
eeywm,10,16,62,2,27,88
wnsp4,3,1,70,11,1,94
thtxk,5,6,53,8,29,71
qhvo9,12,17,5,3,4,41
mhupm,5,20,8,5,13,27
ku1kw,5,31,55,11,27,58
a48wf,12,5,90,11,7,14
e498z,8,21,53,1,2,59
xewg1,1,10,90,3,26,90
ibfzj,1,28,51,1,26,23
sdelr,3,22,68,11,3,31
szsp6,1,1,1,1,1,65
i1p9z,10,6,4,7,24,92
fnoc2,7,4,59,7,23,3
rvefd,12,27,11,3,14,23
cfl19,11,17,38,5,20,24
mpttx,3,1,83,11,1,60
xyduo,12,19,62,11,16,36
s37mu,9,9,26,11,11,70
tjcf4,1,11,66,11,14,58
cldiw,3,1,28,11,1,47
fpfq5,3,22,10,3,21,65
hq9nj,3,29,65,3,23,55
hv436,6,4,2,6,11,4
fb1b1,11,1,76,11,1,7
zjznc,5,10,2,3,30,11
eymfl,3,1,44,12,21,32
sghpq,10,10,10,2,28,9
plj3s,7,23,86,7,8,45
pir9a,12,1,78,3,1,67
f7ejv,3,21,46,11,10,85
hh90u,3,1,34,9,1,34
po7m9,1,15,56,10,31,18
h9yzv,12,24,9,11,27,58
s8u8h,1,1,39,1,1,15
bpfak,4,12,79,7,13,86
b7l3j,3,1,69,11,1,73
sygr1,12,19,93,12,23,87
q5nuu,11,1,60,11,25,51
bqo7p,12,19,95,3,20,86
x0ptu,10,18,86,6,17,93
ahiy9,12,13,89,3,4,64
yyv9z,3,27,14,11,8,25
s5m34,1,1,92,1,1,82
z3n04,3,31,71,3,23,68
yvig4,11,2,67,11,27,48
ig8vh,3,3,39,11,30,4
thbv3,11,28,30,12,24,37
f0vvi,7,15,37,8,31,70
m3t49,4,27,76,7,18,72
g571l,2,11,73,6,29,59
mkyis,12,15,15,6,30,9
wzkdf,3,25,36,3,5,35
lze2a,3,26,14,12,12,44
c1wjj,9,19,98,12,10,13
isv41,3,14,41,11,19,20
usa7p,7,21,33,10,4,1
n4jnw,8,21,26,6,22,39
o0f2u,2,25,81,6,25,76
l3vtx,12,7,68,11,15,47
hsdm9,11,1,62,3,1,73
pjphq,1,9,34,12,30,15
q2zd7,12,29,53,11,28,45
xwy1y,11,25,58,5,20,85
q5z9y,7,15,59,11,30,12
z4tls,1,9,76,1,22,58
vfr01,2,17,94,2,20,98
coque,12,21,59,12,19,87
kwr0w,5,1,98,11,1,94
kgumw,11,12,23,5,23,46
awnwg,3,18,16,3,1,71
enzsb,12,19,99,3,20,29
tqj67,3,30,18,3,2,73
jcnvm,3,28,98,12,29,18
d0e4j,11,1,38,3,1,10
him7k,1,3,25,12,22,6
hjif7,5,11,31,12,2,42
exueb,1,1,53,1,1,86
cl7t3,2,23,65,2,13,79
tkdii,9,21,4,9,3,91
vvg9y,11,13,48,9,27,57
movz1,11,27,83,12,12,70
qasok,3,1,38,5,1,26
xxijx,5,11,81,1,27,92
vcn1o,12,1,95,11,1,87
akhr2,6,15,43,5,31,72
ydv2h,12,1,79,3,1,31
bypaz,3,1,92,3,1,23
azycq,11,12,74,12,1,86
kgxqw,11,14,69,5,19,82
t5diu,11,25,82,12,12,58
c7b42,3,1,56,1,1,13
hh3vb,5,1,90,5,1,56
gblt2,2,28,14,2,13,36
kdxyn,5,28,54,11,30,13
zjjqk,12,21,16,12,22,94
iuez9,3,16,94,3,4,61
fiy0t,3,23,74,11,8,13
dk9wn,11,12,18,3,28,72
fj506,3,3,59,3,8,71
d0e29,11,1,65,12,1,73
oa02m,3,23,97,12,10,91
k5opc,4,21,75,7,19,26
mn2tk,1,1,86,1,1,62
v0mns,11,25,72,3,2,45
pdszh,5,18,22,3,13,21
eua3z,12,8,31,3,31,45
j0pvz,11,1,35,8,1,50
innln,5,26,56,8,11,94
vy6ij,5,1,41,12,1,42
hbn2m,9,20,73,3,17,54
dahhh,4,9,6,10,30,35
t38qd,9,1,51,8,1,21
l8z3e,1,7,5,9,12,60
cff90,3,16,31,12,26,56
r4wmm,12,6,93,12,24,19
fdixp,4,21,56,7,18,99
wt5e0,12,21,6,3,11,7
v96hk,11,1,12,3,1,87
jwqxy,8,28,12,8,19,65
of5ev,8,12,30,2,25,42
o7bpq,11,3,36,5,5,73
qo4c2,5,23,83,7,17,83
ba890,12,1,64,9,1,65
i4ffh,11,24,5,12,21,74
emmfe,3,1,4,5,1,18
s3y3m,3,8,70,11,16,75
b4h1i,3,27,48,11,13,3
ns7d1,5,7,19,11,7,4
sul92,2,4,83,7,23,75
y3741,10,10,34,6,11,37
hgoog,12,18,6,3,8,15
ak2vb,12,1,39,12,1,20
sykbc,3,22,6,9,9,7
adixl,3,1,30,3,2,96
b5nbf,1,1,10,1,1,26
ziwt8,5,1,85,9,1,62
weetz,1,1,49,1,1,52
sogpx,3,27,98,11,1,42
vrfc5,3,11,47,5,11,6
bmaph,11,1,42,12,1,37
chxyy,9,19,48,12,19,20
h5q0i,9,4,93,8,30,18
axwn9,1,1,4,1,1,98
x7xgg,3,1,88,11,20,91
bx6fz,12,1,29,5,1,49
ouvfg,3,1,33,12,1,30
wpkwr,5,16,27,11,19,34
twv8m,3,28,59,1,15,59
gnxuf,9,29,7,1,13,42
mj3dg,11,14,12,3,16,90
oz840,12,28,77,3,29,89
tk1nl,3,1,80,9,1,87
lklw3,3,21,58,3,20,8
hx4jv,11,1,65,3,1,75
uyn2u,9,15,55,9,30,5
xjzb2,3,18,69,3,8,21
mhq12,1,1,74,1,1,16
amxd4,10,25,28,2,11,5
ni2so,11,16,88,11,8,91
xm1kv,11,19,50,11,30,78
zaxei,7,30,74,10,12,95
k01de,4,5,75,6,10,11
dehjm,12,28,79,3,15,52
os1co,5,30,31,3,12,44
vbw67,12,2,24,5,29,22
ycz23,11,15,22,12,16,73
bbenc,5,27,49,12,26,20
hmi46,3,1,32,11,1,40
mk0an,11,23,71,5,24,23
c66nx,3,13,33,5,14,78
xb2id,12,1,72,11,1,58
ct3wr,6,26,81,2,3,71
rjdbb,2,11,77,2,10,80
xmuav,11,13,14,11,15,67
r0gpl,10,13,63,4,26,11
t2o2a,3,1,50,3,1,28
g68y3,12,1,65,11,1,25
vzjf4,9,1,33,9,1,19
kavag,3,22,97,12,9,16
bl2dd,5,1,25,11,14,87
jipk1,11,27,14,5,18,6
jr65k,5,1,6,9,1,70
n0vw4,3,1,40,3,1,3
gg5ua,12,1,9,12,1,84
modlg,9,1,62,3,12,39
lxad6,11,18,16,5,27,82
ioc26,12,11,84,11,22,60
slluc,5,30,77,3,27,4
h9nj0,7,5,1,6,8,71
toeq8,1,20,79,12,25,88
grgh6,9,22,19,3,17,62
w1ah0,8,3,40,5,7,88
jkr51,12,29,24,11,9,6
byxih,12,2,39,3,4,13
d3bxo,6,9,1,2,17,63
uaue4,7,6,74,7,27,6
wiiyk,6,7,49,10,28,77
fnms0,3,16,16,3,20,76
p2eqs,3,1,31,11,1,48
o8v3s,12,3,80,5,10,6
dstdp,12,2,12,5,6,98
l89gq,3,20,12,3,7,62
s34xt,9,1,93,12,1,28
z5w23,12,22,29,3,16,30
wj9nf,3,19,73,12,13,88
ciu7g,11,1,11,12,1,58
gybs6,12,5,12,1,27,76
lx98y,3,6,63,12,31,71
daoe1,8,1,23,9,1,77
of9w6,3,3,28,3,11,78
a35bs,3,14,56,3,31,28
c6hne,7,17,22,7,22,24
bscdm,3,31,80,12,11,92
h2b4y,9,1,65,11,1,38
t8302,9,1,19,5,1,57
ezdxh,2,16,44,6,17,8
zg869,3,1,98,12,1,21
ha8a7,3,2,60,12,6,86
befb2,11,1,32,11,1,48
i2h2j,3,17,8,3,19,39
t5ru2,5,22,35,3,9,86
crpui,3,31,80,5,1,6
bq6xk,1,1,63,1,1,41
w7191,2,13,7,7,9,50
padaq,11,16,77,12,13,42
iqed0,10,22,68,1,15,54
tz0vk,7,7,60,7,8,87
vuy0o,12,21,22,3,26,94
jgu5y,5,15,51,12,23,8
oz4yr,2,20,81,2,20,38
ayzqj,3,16,99,3,7,17
hnqyd,10,26,74,4,16,7
pyrdn,5,12,34,11,27,55
f172j,9,1,23,1,1,39
zu9rh,11,17,21,3,9,23
zsvil,11,1,73,5,1,94
g965r,5,5,35,12,30,96
k4jlg,3,23,95,11,31,97
ey0w6,3,1,80,3,1,49
nh19s,12,24,74,11,23,40
ds7es,8,1,58,9,1,32
kshdi,5,18,69,12,28,41
o2x23,12,1,92,5,1,57
p3zce,12,27,68,11,11,14
peqdc,3,7,22,3,22,68
fx7kd,3,1,60,3,1,21
uf69m,11,1,27,5,1,57
rrvrz,2,4,29,10,13,89
tu4rz,5,1,39,1,1,8
mjsyj,6,1,81,10,11,48
xvh4y,4,22,60,2,29,36
koo10,7,26,90,10,11,59
u92nj,12,1,2,3,1,39
fzabr,11,3,57,11,27,82
g6lzd,1,1,38,3,1,66
nwpdo,4,7,54,4,7,52
o9i6l,3,1,1,9,21,70
tkbc8,12,12,1,11,28,41
hozbg,12,1,44,11,1,18
wtu0x,3,13,83,12,25,10
ipt4v,11,23,92,12,31,87
n6596,8,1,67,9,1,86
ysats,3,14,98,3,10,48
o7q1b,4,29,29,10,6,30
rg6d9,12,5,9,3,9,26
xuz4j,1,4,79,9,21,7
zocvk,11,17,2,12,13,57
myvmk,11,9,28,11,28,37
ko0a9,12,1,24,3,1,80
fqhh9,1,1,55,1,1,86
nursp,12,1,60,11,1,23
xihec,11,9,50,3,10,40
mx0oy,9,5,50,1,15,51
jn13h,2,23,83,7,24,54
cx0vw,9,1,37,8,1,59
kgobg,1,27,74,5,17,70
gvxn6,11,1,31,5,1,66
zq2o9,12,21,27,3,19,77
n5f7x,3,1,13,9,1,43
d1mdm,5,14,46,11,16,89
bhmpx,1,1,30,1,1,74
wi2ft,12,1,18,12,1,2
y4zqm,7,4,55,2,17,4
twr5f,10,12,71,2,11,18
d1b8q,3,5,2,5,3,29
ca9h7,1,1,86,12,1,13
f06wn,9,1,30,1,16,11
tr0q7,12,15,24,12,30,71
ttccq,3,1,58,12,1,31
vbnj4,12,26,41,12,23,95
c5u29,7,19,77,7,17,32
d8cpl,5,27,58,5,9,75
xjtbh,8,27,28,1,20,35
yh87y,7,11,37,9,9,40
spvxe,3,1,30,3,1,55
ch278,10,24,17,7,12,69
bj2yu,1,27,96,12,17,56
bfydt,10,6,65,6,6,16
rmbn5,8,1,66,12,1,67
v1i0l,7,22,69,12,8,13
qo6s0,9,26,24,1,10,98
g9trj,5,12,68,3,15,10
tv38t,12,18,44,11,13,39
bjt9g,11,18,56,5,8,34
vvp0m,12,25,23,11,20,77
xrk8r,11,24,55,3,25,86
s64sl,12,5,88,3,25,43
wuir5,12,20,4,11,29,89
py1tu,3,30,95,11,28,20
mvykd,11,1,99,11,1,30
ih086,3,1,62,8,1,68
x8rk4,3,15,84,12,5,8
sou7b,3,28,94,3,9,9
e2ave,6,1,41,10,26,43
y18t8,11,15,71,3,28,66
bybnn,10,15,86,7,31,23
p881t,12,1,3,12,1,86
ec2oh,8,1,42,12,1,6
r4dwl,1,1,49,1,1,14
k3yg7,11,1,22,3,1,30
lc2so,7,15,3,2,1,56
rrn25,11,1,31,3,1,93
t4s7q,10,15,31,10,31,99
jqk3y,3,5,70,3,3,20
zufnn,12,14,45,12,10,1
mu1gy,12,18,81,5,26,49
euehm,5,10,22,8,4,99
auo0i,11,1,62,5,1,85
fphis,5,1,84,12,1,15
rhmxv,5,11,19,3,12,92
ozx78,9,1,23,3,1,60
iovd3,12,17,77,1,21,57
mv6ep,11,22,16,12,8,30
vsgkk,11,27,99,3,20,15
oxyxl,12,1,12,12,1,65
bee2f,3,16,65,12,9,62
b4mwf,10,18,67,7,23,75
m378a,4,2,63,4,27,16
k6iu7,12,30,73,3,31,54
wx3i7,3,1,66,3,1,61
pw5ap,3,6,83,11,2,32
t3di3,5,23,29,11,30,1
p8nfe,12,9,32,5,5,28
i31xa,12,15,98,12,28,80
rmhux,12,8,79,12,25,61
q5iuc,12,16,99,9,10,40
sgytk,5,24,88,12,10,19
er7lc,6,22,49,8,19,49
qdmt6,4,25,50,2,9,55
htcg5,1,9,22,8,16,81
ue42e,8,11,58,3,18,94
utude,12,1,77,5,1,90
qg7c9,2,24,43,7,14,62
yvml8,11,5,79,11,12,69
npj7v,12,9,22,3,1,93
a0i9a,5,6,85,3,7,87
p8map,7,16,83,7,15,48
uog4s,1,1,36,5,1,93
ca7r3,3,1,80,9,1,40
cdozp,11,1,94,12,22,33
ha5vu,7,31,92,2,13,2
vgp5j,6,17,55,10,16,61
ng7nr,1,10,83,1,3,97
zal76,11,1,3,3,1,6
w9y05,9,13,91,8,3,96
ockd9,3,1,93,5,1,53
rv5vw,8,7,90,9,6,19
iy95p,3,18,55,12,13,64
cwsgv,12,9,27,3,31,94
kn25z,11,1,32,11,1,70
pg7lq,6,22,53,2,21,76
ewu1o,3,23,47,5,24,87
fx2sz,9,1,58,1,1,67
a48s8,1,1,99,1,1,51
tqufb,11,1,23,3,1,84
xqvrx,12,29,90,9,18,70
vkczg,11,5,22,12,25,23
jl5ap,5,15,2,11,14,47
pw7ml,11,1,85,1,1,46
yh9hy,1,11,40,6,5,44
p50sv,12,8,52,3,18,96
hmt10,5,1,34,12,1,64
ifhzr,1,10,59,9,27,98
sp8f6,11,1,83,3,1,69
lt7r2,3,29,57,3,14,15
vi2h7,7,27,2,7,22,48
wu16d,3,22,30,12,13,4
amuab,3,24,59,3,15,52
sxgry,1,1,30,12,1,74
j27aa,11,12,32,3,17,73
nb1cq,5,30,48,12,13,8
ga33w,1,1,67,1,1,86
j9vyp,3,16,45,5,6,57
i9mis,7,16,24,2,25,27
bgyvn,12,24,1,3,5,59
uartv,12,1,49,3,1,60
dba2h,4,8,57,2,9,62
j6gn5,11,9,51,5,7,52
fe6ag,11,1,99,5,1,89
ekzvo,4,6,14,6,9,14
jut2o,5,1,25,3,1,82
x7q4y,5,2,40,12,4,65
yoksa,5,1,70,12,9,70
jmsnd,11,27,35,12,2,80
nv8pm,1,17,57,12,3,43
zza6r,11,14,83,11,18,22
g1lhy,3,30,12,9,10,56
ykzzz,5,26,28,9,28,7
c2o94,3,30,86,12,5,36
fqbbq,11,9,28,12,7,64
ib8pp,7,22,64,7,2,91
as9vz,9,1,73,1,1,47
vuody,11,26,16,12,1,2
wr8e4,3,1,25,9,1,44
jyhs3,11,8,91,5,19,60
vziyd,3,29,92,11,22,76
ufocv,5,31,62,12,18,46
uglv4,11,1,50,11,1,46
uflpe,9,5,89,3,17,74
ohrnw,8,1,15,12,1,75
c5jg6,11,23,22,12,29,18
ymc7v,4,6,42,7,10,46
p94w3,5,21,79,11,5,39
xexfb,10,8,69,10,16,45
y3car,12,20,3,7,2,44
en8yc,11,15,64,1,31,99
kf423,6,12,84,7,19,20
fj8rf,3,1,32,3,1,4
b5den,12,6,85,3,8,6
z3sf4,5,22,46,3,15,89
ys7vl,5,29,91,3,25,20
ye3d4,1,1,16,1,1,41
w1ouq,4,17,55,4,28,30
qb515,7,13,54,10,25,96
nv8cw,11,14,26,5,29,90
z6rq3,11,18,10,12,16,82
omcj5,3,1,51,12,1,56
qlhpq,7,11,41,4,3,78
f8y2b,12,2,62,11,5,74
t4odk,5,17,26,11,19,60
vxc1g,10,26,48,7,4,2
r4f51,3,17,74,3,22,71
mhodb,5,1,13,11,1,72
fmi10,11,24,29,11,26,70
aki5p,3,1,71,11,1,96
qxxy8,5,27,29,11,26,77
rzcoh,11,12,99,11,18,76
uih45,3,4,83,11,15,1
yhtq1,4,19,91,10,23,81
m5qpr,5,1,16,12,1,25
vr9ef,5,31,36,5,14,98
soor9,12,16,33,12,11,4
hvjjd,1,1,98,3,1,72
vakz4,1,13,10,8,16,97
bz9iw,12,31,88,12,6,85
p19kg,3,10,77,3,21,85
y9w2v,5,1,25,11,1,21
rfelw,3,8,52,3,20,45
y8ts1,3,24,56,11,12,77
by3ki,5,25,27,12,26,95
nyd17,11,7,58,12,25,29
ux0tn,1,1,97,1,1,72
qht63,3,6,56,3,25,10
wnf9a,12,21,30,3,26,38
mgt4d,11,1,3,12,1,10
ri8ch,3,1,99,12,7,76
kb0lz,3,14,28,5,8,55
wafea,11,25,93,5,19,81
dai4t,8,24,80,4,14,84
g1e67,12,1,18,11,1,50
cv2oi,2,17,30,4,21,46
s5enc,3,2,39,3,25,56
gk305,1,6,75,9,2,56
i3s8u,11,6,41,3,11,99
vxpk2,7,13,99,6,23,16
j750l,5,13,1,12,6,57
d36qi,11,3,32,3,12,64
axh94,3,1,78,5,1,65
fxsgb,11,3,59,12,31,30
xadpk,7,29,66,10,22,72
omgz9,3,25,96,1,6,60
zaz6p,7,24,25,4,5,58
fu3wk,4,5,61,7,19,63
jlb2n,3,27,84,3,26,55
e5msf,12,28,65,3,25,97
kcw0n,9,21,21,12,20,69
owkyv,12,15,99,11,2,64
v4059,1,1,85,1,1,11
jn5qa,4,18,68,7,17,47
u8fet,11,3,86,5,19,23
qzqw5,3,9,21,11,16,94
hu3vt,5,29,22,5,8,88
xs8mm,3,21,16,12,16,48
l2xfz,6,27,85,2,27,88
dbslh,1,1,88,1,1,1
zwfmf,1,31,67,3,22,27
xenwy,12,1,51,3,1,72
b7lm4,11,9,56,11,4,3
xgv0q,12,6,31,12,13,46
y4lde,5,21,95,11,5,13
vttsn,11,27,81,12,8,13
gq8r0,12,15,65,3,15,24
q4eiu,9,1,55,9,1,15
n0507,5,25,49,3,18,31
q97w3,3,16,91,11,24,86
q8juw,1,1,61,3,1,58
qnzz4,11,12,90,12,1,73
ni58t,5,9,10,3,30,13
rpl0s,3,1,4,3,1,81
nw7zs,6,9,15,2,31,28
aff0p,12,19,6,12,31,89
aa109,3,1,97,9,1,76
yjpw2,11,5,38,3,23,15
xhjxn,12,23,30,3,27,2
p8kby,4,31,26,4,24,31
e17j3,1,1,63,1,1,5
u8vjt,3,27,80,3,22,97
dx4r7,5,21,90,12,16,64
jl2zx,11,1,89,12,1,94
ix2dr,3,3,68,11,12,85
a8pe8,12,4,13,1,18,41
u1t8u,11,14,20,5,21,24
n4eps,7,7,20,2,25,27
itnbk,12,2,63,5,24,5
n38c7,12,17,24,3,5,56
a99jm,12,11,31,3,30,14
lgxfl,3,23,63,3,14,6
nuqoj,12,16,17,3,18,62
iivgk,7,14,11,10,11,4
vckkp,11,2,70,12,13,42
gjam6,3,25,76,3,27,44
duh7w,7,16,53,7,31,25
nycjn,3,15,54,3,6,72
xybi9,3,12,70,3,14,60
jk5g4,11,15,26,5,30,83
bohxu,3,8,64,5,25,61
ze51n,5,5,25,3,2,36
l6b8p,3,27,91,11,13,19
e264e,6,4,39,7,19,80
qodiv,3,19,65,12,16,45
izicn,11,2,20,1,5,17
yvo8z,11,22,51,11,2,52
hxb7x,12,15,13,3,30,85
o9rys,3,23,29,11,31,34
o5zox,11,13,39,5,21,77
gdyqk,3,11,81,9,9,82
m44cw,12,1,36,5,1,41
cbq8s,3,6,40,1,24,48
qeib2,3,21,75,8,22,86
t6kju,3,19,67,11,31,86
y278t,11,20,56,3,21,81
ixbc8,9,1,62,1,1,96
hiukg,3,1,95,12,1,69
o3ren,3,9,70,11,8,4
spp1r,12,3,29,11,24,4
zw37i,5,7,35,12,29,98
awxyz,5,23,35,12,29,59
gd90l,6,20,26,3,16,51
gohw7,11,22,11,11,5,73
go802,4,24,41,6,14,77
mcnr8,12,5,65,9,12,80
w2v4h,12,1,24,11,1,34
af32r,1,18,33,12,7,37
vlcf2,5,1,11,11,1,5
qw3b4,1,31,61,1,13,5
ptf8m,12,7,14,12,13,53
rm2q1,11,12,77,12,1,42
du5jt,6,14,62,6,5,25
thl9o,9,15,48,9,27,91
gzkbx,3,30,65,3,3,81
nhr1u,7,18,51,4,14,1
rcyoi,10,15,57,10,26,62
py6ib,9,26,86,11,18,40
i4ike,1,11,22,10,21,64
kcov8,11,6,63,8,19,19
mq37r,11,1,49,5,1,16
bto1b,12,25,14,3,17,52
s7rej,11,19,93,5,14,72
cta24,10,11,35,10,29,98
lu0d7,3,17,18,3,7,39
roqjr,11,10,15,5,22,33
cauk5,3,5,71,3,25,31
zghxc,9,1,39,8,1,60
jxxss,7,11,64,1,20,41
a1v25,11,4,93,11,29,24
rk6un,12,1,42,9,1,76
o3yzr,3,8,60,9,25,61
qbu13,3,13,2,1,22,73
tckzd,12,30,75,12,15,64
m5y2k,4,10,79,4,23,6
vvkee,6,26,57,10,8,69
jg8d4,4,12,12,6,7,71
ot0xt,4,7,85,1,3,86
e7bs8,3,1,88,12,1,71
qvhiz,3,30,67,8,6,96
gwtbk,11,26,9,11,7,79
spqvu,11,13,19,3,30,72
uqzx0,4,4,56,4,23,73
wlb95,4,13,39,10,24,59
yjzl2,3,27,95,11,15,1
dfmty,8,1,29,9,1,83
dkwom,3,23,6,12,17,28
y3g0u,3,1,20,5,1,98
jy13m,4,5,36,4,31,3
ao5s5,9,5,77,3,28,78
h913e,3,1,28,12,1,90
v0st9,11,4,42,5,26,72
jjjgb,2,25,87,7,19,13
bgsnj,1,6,77,11,28,51
s90g7,5,6,15,3,29,14
fwpn2,3,25,64,11,28,11
jpzry,5,1,99,12,1,35
a1be0,9,4,1,1,21,1
pk1nc,12,12,55,3,24,60
lp69q,11,8,49,3,22,63
wx1oz,10,9,19,4,24,12
i52ua,3,1,78,1,1,9
fzxrl,12,15,57,11,17,74
eqnfe,12,19,86,12,12,19
fluaz,12,25,31,3,4,10
lai6f,12,15,48,7,31,35
ci8ci,3,23,37,12,19,37
ktlv5,12,1,32,12,1,86
wqpll,9,22,31,8,14,3
tucf2,3,13,99,11,28,40
qp04j,11,4,42,11,30,51
xnvzc,5,7,35,3,15,9
uuiq3,3,1,20,11,1,75
qf8m1,12,5,70,5,26,91
wgz4y,5,5,22,6,22,79
d7c6t,7,28,8,7,19,94
viyr1,9,1,87,9,1,16
h0z4l,9,22,9,9,19,38
tiui3,3,4,30,11,7,33
x6r2o,3,4,39,3,11,16
m5d9t,5,5,1,12,28,81
c8z0m,8,26,59,1,2,2
jx109,12,31,2,9,18,41
kchpw,10,10,19,6,18,70
yvmei,3,25,84,12,12,56
y2uan,1,1,84,1,1,79
oow3x,11,5,89,5,18,64
y9o3a,3,19,72,11,30,55
ll6b8,3,30,10,3,16,21
ksja5,3,21,51,3,2,43
vg69h,12,1,2,11,23,87
rzruc,12,1,60,9,1,73
nppul,3,8,77,12,11,73
lpflu,5,1,57,5,1,53
swewm,1,1,90,1,1,8
ti52y,12,1,20,12,1,19
mp3oi,12,1,8,3,1,34
aruwk,1,1,95,1,1,92
ctqiv,5,7,10,12,13,93
dln8t,9,23,20,8,7,5
mtvee,12,26,10,3,8,12
ppakd,12,9,63,5,2,90
uw5b9,12,17,62,12,28,4
grflm,12,28,65,3,19,87
uml8v,3,25,45,3,12,92
rglm8,5,1,69,12,29,74
b5gzr,3,10,43,3,25,24
jhhxo,3,1,71,11,1,90
hahad,3,1,7,11,1,49
xg6mu,3,1,69,3,1,20
x6y8o,12,16,13,12,13,39
vbf78,10,10,87,4,9,23
nvmf0,2,28,13,11,29,13
mn6yu,5,1,70,3,15,18
i4owj,11,28,64,3,8,20
u9bic,11,15,26,11,1,96
c8yj7,12,23,58,3,3,50
h01tl,2,25,91,6,7,54
d7eih,3,1,14,12,12,55
m144j,5,9,16,12,2,79
htt89,3,28,80,12,15,52
fl96h,3,28,19,1,24,96
j08jl,11,1,26,12,1,99
w533i,10,7,35,2,29,46
ojb02,2,10,43,4,24,24
v3qd9,1,1,16,1,1,82
x5m0n,12,5,53,12,6,95
x4u92,5,1,80,3,17,15
jxapw,11,23,13,12,7,93
wsivi,5,30,93,11,9,97
x8dja,11,1,48,12,1,99
yhk8x,5,1,11,3,1,19
jfpfe,2,16,77,4,25,86
fvrg3,12,15,52,11,26,81
p945u,12,21,15,3,25,97
yitgn,3,9,35,11,3,54
xor31,3,22,69,3,25,11
oypb4,7,8,5,7,27,74
dhwfo,11,15,90,3,5,2
kf7o5,1,1,18,1,1,31
spon0,4,15,5,11,30,13
o17cv,5,31,43,3,9,73
ii7jc,3,1,32,5,1,45
in7vy,9,3,44,5,23,15
bvf6e,6,15,23,6,1,28
hl07i,7,3,78,2,21,37
r8bsh,1,15,69,11,16,20
g5dug,3,13,60,12,12,55
zdtjt,3,20,4,3,19,21
ckqh0,9,14,57,1,5,30
p6ap6,11,20,51,11,24,10
m79c8,3,15,57,12,13,11
vcjq5,3,24,29,11,28,24
xp0ur,11,20,7,12,24,76
oe9di,5,30,36,12,21,29
q4vlh,2,30,63,10,5,9
sfj23,8,22,38,9,24,81
nywkz,11,1,97,12,1,5
e8mu7,12,17,60,11,23,45
lfqzl,5,1,17,5,15,67
gdg5j,5,14,93,12,3,91
m52wl,12,28,29,12,30,31
pplnn,1,1,6,1,1,86
folos,11,10,94,12,25,25
gs9g8,11,6,66,12,6,98
v472v,12,18,62,11,31,77
jp93n,3,1,65,9,1,17
fkhy6,4,28,33,6,21,46
s534o,11,3,39,11,21,2
s2iun,9,2,16,1,2,2
vjp14,3,15,7,4,30,41
tvowr,9,26,51,3,22,55
zmgq0,10,24,20,7,20,74
ouw1f,5,1,11,9,1,43
h3kjl,12,1,92,9,1,49
w2wba,12,13,64,5,26,70
gyvmj,5,24,52,3,16,32
h0653,3,1,81,12,1,70
vbukk,5,1,73,12,1,57
w5jyc,5,1,38,11,1,22
i0ndf,11,23,85,3,21,44
snw35,5,22,91,11,20,96
x3c26,7,15,14,10,31,17
uvo4b,9,1,75,12,1,63
aadza,3,2,87,3,19,81
rdvvj,3,11,41,11,12,23
e4qw0,11,19,75,11,13,3
wypuh,3,30,50,11,8,41
bx4yh,2,9,52,6,31,62
z908y,12,24,59,12,23,83
ex24q,12,29,81,12,3,76
kx72e,6,2,13,2,1,29
g6tgz,8,1,43,11,31,33
v85fx,3,1,49,11,1,69
kfxr8,11,17,7,3,8,45
tao2t,3,2,63,11,27,59
brykj,1,27,37,12,31,36
